cmtid,itemid,rating_star,comment,modelid,model_name,filter,anonymous,origin_region,region,ctime,submit_time
15246375408,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175613,1716175613
15246313617,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175203,1716175203
15249054081,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716191975,1716191975
15246144231,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174081,1716174081
15246084573,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716173675,1716173675
15246188871,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174371,1716174371
15246428264,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175969,1716175969
15246101351,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716173789,1716173789
15246337052,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175360,1716175360
15249138307,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716192462,1716192462
15249451496,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194349,1716194349
15249035711,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716191861,1716191861
15246484290,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716176336,1716176336
15246424918,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175947,1716175947
15246140903,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174059,1716174059
15246262238,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174860,1716174860
15249417431,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194148,1716194148
15249298172,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716193428,1716193428
15248706659,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716189832,1716189832
15246415145,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175881,1716175881
15246114467,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716173878,1716173878
15246244577,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174742,1716174742
15249528292,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194814,1716194814
15246085893,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716173684,1716173684
15246443022,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716176067,1716176067
15237106380,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716090027,1716090027
15218048999,22489557572,5,,184956190804,"Quai đen đế trắng,Size 37",0,False,vn,VN,1715922267,1715922267
15205627121,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715823902,1715823902
15205805477,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715825342,1715825342
15205856445,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715825735,1715825735
15205522414,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715822981,1715822981
15205653279,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715824121,1715824121
15205568207,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715823389,1715823389
15205711993,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715824606,1715824606
15205607834,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715823733,1715823733
15205732777,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715824775,1715824775
15205545256,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715823189,1715823189
15205673613,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715824288,1715824288
15201240675,22489557572,5,,184956190808,"Quai đen đế trắng,Size 43",0,False,vn,VN,1715773702,1715773702
15182991977,22489557572,3,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1715617014,1715617014
15175072779,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1715569496,1715569496
15164900904,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481538,1715481538
15164932321,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481771,1715481771
15164920745,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481685,1715481685
15164543596,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715478609,1715478609
15164712527,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480073,1715480073
15164187887,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715475089,1715475089
15164554852,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715478713,1715478713
15164228095,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715475515,1715475515
15164804223,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480803,1715480803
15164872930,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481328,1715481328
15164126135,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715474397,1715474397
15164766823,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480508,1715480508
15164574851,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715478898,1715478898
15164151638,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715474685,1715474685
15164619133,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715479300,1715479300
15164831087,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481009,1715481009
15164334704,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715476588,1715476588
15164298821,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715476232,1715476232
15164794461,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480724,1715480724
15164142710,22489557572,5,,184956190788,"Quai đen đế trắng,Size_ 01 CHIẾC KẸO",0,False,vn,VN,1715474584,1715474584
15164211226,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715475339,1715475339
15164219342,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715475422,1715475422
15164843408,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481104,1715481104
15164858065,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715481216,1715481216
15164633764,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715479421,1715479421
15164198101,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715475202,1715475202
15164114495,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715474265,1715474265
15164730904,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480222,1715480222
15164161006,22489557572,5,,184956190805,"Full đen,Size 41",0,False,vn,VN,1715474791,1715474791
15164599427,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715479125,1715479125
15164819317,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480918,1715480918
15164783443,22489557572,5,,184956190806,"Quai đen đế trắng,Size 39",0,False,vn,VN,1715480638,1715480638
15164134911,22489557572,5,,184956190788,"Quai đen đế trắng,Size_ 01 CHIẾC KẸO",0,False,vn,VN,1715474498,1715474498
